JobTitle	NumDaysPosted	TimeFrame	TodayDate	CompanyName	JobLocation	LowSalaryRange	UpperSalaryRange	SalaryPeriod(per)	CompanyRating	JobSummary	JobUrl
Data Analyst (F/H)	30	jours	22-02-2021	Novencia	Paris (75)				5.0	Quelle que soit la façon dont elle est structurée, la data n’est plus l’apanage des SI… mais bien au cœur des activités et des Métiers.	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Développeur Big Data F/H - Paris En Savoir Plus	30	jours	22-02-2021	BMARKETS	Paris (75)					"Nous recherchons un Ingénieur Développement Big Data F/H.
Dans le cadre de projets d'ampleur pour notre client, grande Banque d’Investissement, votre rôle sera…"	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
CDI - Data-analyst Agile F/H Bagneux	30	jours	22-02-2021	Orange	Bagneux (92)				4.1	"Traiter, exploiter et intégrer des données dans un data warehouse (entrepôt de données),.
Collaborer au développement de la culture data en accompagnant les…"	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Conformité / Data Protection / Gouvernance de données H/F	30	jours	22-02-2021	CRÉDIT AGRICOLE CONSUMER FINANCE	Massy (91)				3.9	Crédit Agricole Consumer Finance recrute des stagiaires en Conformité, découvrez nos offres en cliquant sur le lien suivant:	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
Data Engineer H/F	30	jours	22-02-2021	MALLYANCE	Bagnolet (93)	2916 € 	 3565 € 			"Data engineer h/f ou similaire: 3 ans (Souhaité).
Récupérer les données issues de sources externes.
Utiliser la puissance du Datalake."	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Chef de projet MOA transverse & Data H/F	30	jours	22-02-2021	BFORBANK	La Défense (92)				3.9	"Rattaché(e) au responsable de la MOA centrale, vos missions se déclinent de la façon suivante :
Gérer et piloter les projets transverses dans le respect de la…"	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Data analyst - h/f	30	jours	22-02-2021	Iliad	Paris (75)				3.6	De formation supérieure (Bac+5 ou plus) avec une spécialisation en Parcours informatique orienté data/ Statistiques/ analystede données,...	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Data Protection Officer – DPO (H/F)	30	jours	22-02-2021	Cisif	Boulogne-Billancourt (92)					Notre client, leader européen dans son domaine, présence mondiale, recherche un DPO (Data Protection Officer) pour l’accompagner dans la mise en place de la…	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
Consultant Data Analytics| Transactions|CDI| H/F	30	jours	22-02-2021	PwC	Neuilly-sur-Seine (92)				4.0	"Une connaissance des modules data avancés d'Excel (PowerQuery, PowerPivot).
Vous êtes diplômé(e) d’une école d’ingénieur ou d’école de commerce avec…"	https://fr.indeed.com/company/AGYLIS/jobs/Data-Engineer-fec5c6457d0d8939?fccid=ba755be2fca96675&vjs=3
Junior Data Analyst	30	jours	22-02-2021	Voodoo	Paris (75)					"We harness data and creativity through innovation on the Voodoo gaming portfolio.
We are looking for a Data/Business Analyst who is deeply passionate about data…"	https://fr.indeed.com/rc/clk?jk=9ab7122bd3968231&fccid=a4afddc5b7ad7ec2&vjs=3
Data Scientist (H/F)	30	jours	22-02-2021	Gamestream	Paris (75)					Rattaché(e) à l’équipe marketing vous serez responsable de la gestion et de l’analyse des données (big data) de l’entreprise.	https://fr.indeed.com/rc/clk?jk=9ab7122bd3968231&fccid=a4afddc5b7ad7ec2&vjs=3
Chef de projet Data-(H/F)	30	jours	22-02-2021	ALD Automotive	Rueil-Malmaison (92)				3.9	Il/Elle est responsable de la mise en oeuvre de projets data complexes, orientés business ou règlementaires, à l’échelle du groupe ALD et/ou du groupe Société…	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
Data Analyst Junior - Transaction R & C	30	jours	22-02-2021	Rothschild & Co	Paris (75)					"Data Analyst Junior - Transaction R & Co.
Transaction R & Co, l’équipe de Rothschild & Co dédiée au conseil en opérations de fusions et acquisitions (M&A) pour…"	https://fr.indeed.com/rc/clk?jk=035866c5b4c5a61c&fccid=df6948c9b8da6236&vjs=3
Data Engineer H/F	30	jours	22-02-2021	Ad Scientiam	Paris 13e (75)	42000 € 		 an		"Forte capacité d’analyse & data driven.
Créer et maintenir des pipelines data qui font le pont entre les développeurs back-end et les data scientists (SQL,…"	https://fr.indeed.com/rc/clk?jk=2af95d8c1a6d5636&fccid=3c43349a97cfd43a&vjs=3
