wine_id,grape_id,grapes_share
61744,10,100.0
16602,5,100.0
1321228,2,0.0
1207034,10,100.0
5052806,10,0.0
5052806,3,0.0
1099296,10,0.0
1099296,3,0.0
1099296,42,0.0
18557,10,0.0
18557,2,0.0
18557,3,0.0
18557,42,0.0
23627,2,100.0
1147819,16,100.0
1124243,1,0.0
1124243,8,0.0
72524,43,0.0
72524,45,0.0
72524,46,0.0
16778,10,0.0
16778,2,0.0
16778,3,0.0
1126516,43,70.0
1126516,45,30.0
1135642,10,3.0
1135642,2,95.0
1135642,42,1.0
1135642,9,1.0
53034,10,0.0
53034,2,0.0
53034,3,0.0
53034,2,100.0
1099296,2,0.0
1984446,10,33.0
1984446,2,65.0
1984446,42,2.0
1126808,10,0.0
1126808,2,0.0
1126808,3,0.0
1126808,42,0.0
78014,17,70.0
78014,18,30.0
1652,2,0.0
79762,10,0.0
79762,2,0.0
79762,3,0.0
1868,2,83.0
1868,9,17.0
1172272,2,100.0
779425,10,0.0
779425,16,0.0
779425,2,0.0
83520,10,30.0
83520,2,60.0
83520,3,10.0
1115658,10,34.0
1115658,2,56.0
1115658,3,3.0
1115658,42,7.0
1188051,80,100.0
1153630,10,45.0
1153630,2,50.0
1153630,9,5.0
2824,5,100.0
1135736,75,5.0
89390,1,0.0
89390,22,0.0
89390,8,0.0
4089,10,0.0
4089,2,0.0
4089,3,0.0
4089,42,0.0
4089,51,0.0
1135843,10,41.0
1135843,2,59.0
2600424,385,99.0
1143846,10,0.0
1186911,2,100.0
7778,1,0.0
7778,22,0.0
7778,8,0.0
5792649,43,0.0
1152438,10,24.0
1152438,2,68.0
1152438,3,3.0
1152438,42,5.0
13689,2,100.0
1730559,108,0.0
1730559,190,0.0
79269,42,100.0
79876,10,0.0
79876,2,0.0
79876,3,0.0
79876,42,0.0
79876,9,0.0
19264,12,100.0
1115658,10,32.0
1115658,2,62.0
79269,10,0.0
79269,2,0.0
79269,42,0.0
1209244,2,100.0
1174530,5,100.0
23769,2,100.0
1632923,5,100.0
3821778,48,100.0
1125543,10,100.0
83594,10,55.0
83594,16,45.0
25474,2,100.0
1153630,10,40.0
1153630,2,54.0
1153630,42,6.0
1154913,10,0.0
1154913,2,0.0
1154913,3,0.0
1154913,42,0.0
1099535,10,100.0
12844,5,100.0
13759,51,100.0
9261,97,100.0
61744,10,0.0
61744,2,0.0
80045,10,100.0
89013,19,0.0
89013,81,0.0
1100733,12,100.0
79762,10,20.0
79762,2,80.0
61754,10,15.0
61754,2,85.0
3704,149,0.0
3704,49,0.0
3110,2,100.0
28214,12,100.0
1214580,80,100.0
61754,10,0.0
61754,2,0.0
79265,10,30.0
79265,2,57.0
79265,3,8.0
79265,42,3.0
79265,9,2.0
13150,16,100.0
48994,10,45.0
48994,2,50.0
48994,3,5.0
1099372,10,0.0
1099372,2,0.0
1099372,3,0.0
1206918,10,0.0
1206918,3,0.0
1153702,10,100.0
1645929,10,100.0
39354,12,100.0
1182494,1,100.0
5052806,10,95.0
5052806,3,5.0
21211,19,100.0
1127929,2,100.0
779035,9,100.0
1186911,10,52.0
1186911,2,35.0
1186911,42,13.0
78014,17,65.0
78014,18,35.0
779452,75,5.0
779452,8,80.0
1374713,5,100.0
1926899,2,31.0
1926899,9,69.0
14640,1,0.0
14640,8,0.0
18557,2,100.0
20986,16,100.0
1251,2,100.0
3481,2,100.0
18979,5,100.0
81848,2,100.0
82613,10,0.0
82613,2,0.0
13793,42,0.0
6514155,282,100.0
1209244,10,0.0
1209244,2,0.0
1209244,3,0.0
98195,10,44.0
98195,2,50.0
98195,3,6.0
6020,10,0.0
6020,2,0.0
6020,3,0.0
1665,1,100.0
94825,2,100.0
1152438,10,0.0
1152438,2,0.0
1152438,3,0.0
1152438,42,0.0
2130558,15,100.0
1125543,3,0.0
98195,10,0.0
98195,2,0.0
98195,3,0.0
98195,42,0.0
1102121,2,100.0
1107919,2,100.0
17656,10,30.0
17656,2,62.0
17656,3,6.0
17656,42,2.0
91020,10,45.0
91020,2,50.0
91020,3,3.0
91020,42,2.0
1171074,10,0.0
1171074,2,0.0
1171074,3,0.0
23769,10,30.0
23769,2,65.0
23769,3,5.0
1241969,10,0.0
1241969,2,0.0
1173607,17,100.0
79269,2,100.0
1268,1,100.0
1537689,19,100.0
1241,2,100.0
1700690,10,40.0
1700690,2,55.0
1700690,3,3.0
1700690,42,2.0
4122,10,100.0
81848,10,0.0
81848,2,0.0
81848,3,0.0
81848,42,0.0
12687,10,70.0
12687,2,30.0
14517,10,100.0
4793,108,90.0
4793,282,10.0
1137679,10,0.0
1137679,2,0.0
1137679,3,0.0
1137679,42,0.0
1239193,1,0.0
1239193,142,0.0
1239193,41,0.0
5101,97,100.0
86362,42,100.0
1294011,80,100.0
11722,16,100.0
6020,42,0.0
20980,10,5.0
20980,2,64.0
20980,3,26.0
20980,42,5.0
81907,10,0.0
81907,2,0.0
81907,3,0.0
4298555,14,100.0
5052806,2,0.0
4089,2,100.0
1175021,1156,100.0
80464,10,0.0
80464,2,0.0
80464,3,0.0
80464,42,0.0
1645929,10,0.0
1645929,2,0.0
1645929,3,0.0
1645929,42,0.0
80456,3,0.0
83070,2,100.0
1579808,10,0.0
1579808,2,0.0
1107322,2,100.0
80279,50,100.0
2112249,10,95.0
2112249,3,5.0
11109,1,0.0
11109,22,0.0
11109,41,0.0
11109,8,0.0
4790,108,100.0
1708022,1,100.0
14362,42,5.0
1237032,10,0.0
1237032,2,0.0
1237032,3,0.0
1984519,10,0.0
1984519,2,0.0
1154913,42,100.0
1984446,10,40.0
1984446,2,60.0
3110,10,0.0
3110,2,0.0
3110,3,0.0
1126809,2,100.0
