id,score_normalized,reviewed_at,vintage_id
3505304,90,2020-02-24T00:00:00Z,156099390
3505351,91,2020-02-26T00:00:00Z,156099390
193504,92,2011-05-02T00:00:00Z,1526307
417974,92,2017-06-30T00:00:00Z,1526307
1366038,93,2011-04-20T00:00:00Z,1526307
1949534,94,2015-03-24T00:00:00Z,1526307
2505887,90,2011-06-01T00:00:00Z,1526307
2507740,90,2013-03-01T00:00:00Z,1526307
2543599,90,2012-09-01T00:00:00Z,1526307
2543600,90,2011-04-01T00:00:00Z,1526307
3179821,92,2014-03-11T00:00:00Z,1526307
1736827,94,2010-04-27T00:00:00Z,1273033
1944741,94,2014-04-14T00:00:00Z,1273033
2506248,90,2012-03-01T00:00:00Z,1273033
2537172,88,2012-01-01T00:00:00Z,1273033
2548695,92,2012-06-01T00:00:00Z,1273033
2548696,92,2012-03-01T00:00:00Z,1273033
2548697,87,2010-03-01T00:00:00Z,1273033
2839931,88,2010-06-01T00:00:00Z,1273033
3331208,91,2019-01-31T00:00:00Z,4368472
3223769,94,2018-10-31T00:00:00Z,151352145
3499511,93,2019-08-30T00:00:00Z,151352145
3507744,94,2019-07-08T00:00:00Z,151352145
3519793,94,2020-08-24T00:00:00Z,151352145
3519794,92,2015-01-01T00:00:00Z,151352145
3519795,94,2015-01-01T00:00:00Z,151352145
3519796,88,2020-08-24T00:00:00Z,151352145
3519797,90,2015-01-01T00:00:00Z,151352145
3519798,92,2015-01-01T00:00:00Z,151352145
1792462,86,2015-10-30T00:00:00Z,4163908
232400,95,2011-05-02T00:00:00Z,1632605
1366302,92,2011-04-21T00:00:00Z,1632605
1949542,93,2015-03-30T00:00:00Z,1632605
2506078,93,2011-06-01T00:00:00Z,1632605
2507778,95,2013-03-01T00:00:00Z,1632605
2545894,92,2011-04-01T00:00:00Z,1632605
3162993,96,2016-03-03T00:00:00Z,1632605
3177944,92,2015-04-19T00:00:00Z,1632605
3137360,93,2018-09-06T00:00:00Z,14147950
1366650,90,2013-04-23T00:00:00Z,2150773
2664388,91,2013-04-25T00:00:00Z,2150773
1606841,90,2015-07-31T00:00:00Z,1973760
1796336,91,2015-10-30T00:00:00Z,1973760
3157266,92,2016-03-30T00:00:00Z,1973760
3339364,93,2019-02-27T00:00:00Z,103460613
3339419,91,2019-02-27T00:00:00Z,103460613
3339446,100,2019-03-01T00:00:00Z,103460613
1803266,88,2015-04-30T00:00:00Z,6718255
3190856,89,2017-03-20T00:00:00Z,6718255
1367171,91,2013-04-25T00:00:00Z,2228537
2543508,90,2013-04-01T00:00:00Z,2228537
2664428,90,2013-04-25T00:00:00Z,2228537
3163026,90,2016-03-03T00:00:00Z,2228537
2949750,93,2018-04-27T00:00:00Z,10650400
3101279,96,2018-08-13T00:00:00Z,10650400
1485700,92,2016-07-08T00:00:00Z,2308476
1863082,93,2017-05-31T00:00:00Z,2308476
248024,92,2015-04-30T00:00:00Z,3628600
1598044,90,2016-06-29T00:00:00Z,3628600
2667102,94,2017-08-31T00:00:00Z,3628600
2667103,93,2017-08-31T00:00:00Z,3628600
1723541,94,2008-04-30T00:00:00Z,1249910
1862595,91,2017-06-30T00:00:00Z,1249910
1938157,95,2014-03-14T00:00:00Z,1249910
2499157,89,2008-06-01T00:00:00Z,1249910
2536734,88,2010-03-01T00:00:00Z,1249910
3503021,93,2018-03-16T00:00:00Z,150482752
3503546,91,2019-11-08T00:00:00Z,150482752
3224575,91,2018-10-04T00:00:00Z,87652632
3299954,96,2018-10-04T00:00:00Z,87652632
3447601,96,2019-03-25T00:00:00Z,87652632
3447602,94,2014-01-01T00:00:00Z,87652632
206779,95,2015-10-30T00:00:00Z,2436982
3013584,91,2016-04-01T00:00:00Z,2436982
3169582,96,2016-04-19T00:00:00Z,2436982
1823567,91,2016-09-28T00:00:00Z,1823533
3178727,90,2014-05-12T00:00:00Z,1823533
1706262,90,2006-04-24T00:00:00Z,104926
2829898,88,2006-06-01T00:00:00Z,104926
2838899,88,2008-03-01T00:00:00Z,104926
3015966,88,2008-10-01T00:00:00Z,104926
2546452,88,2012-04-01T00:00:00Z,1304908
2663259,89,2012-04-26T00:00:00Z,1304908
212954,93,2011-05-02T00:00:00Z,1243005
1370590,92,2015-12-31T00:00:00Z,1243005
1955997,95,2013-11-04T00:00:00Z,1243005
2506081,88,2011-06-01T00:00:00Z,1243005
2507759,92,2013-03-01T00:00:00Z,1243005
3179820,89,2014-03-11T00:00:00Z,1243005
3012518,91,2018-04-01T00:00:00Z,101006002
3493964,92,2019-05-16T00:00:00Z,101006002
1706228,91,2006-04-24T00:00:00Z,1201831
1931309,95,2016-03-03T00:00:00Z,1201831
2546049,92,2008-12-01T00:00:00Z,1201831
2546050,87,2008-05-01T00:00:00Z,1201831
2546051,92,2007-02-01T00:00:00Z,1201831
2546052,90,2007-01-01T00:00:00Z,1201831
2546053,95,2006-04-01T00:00:00Z,1201831
2838891,93,2008-03-01T00:00:00Z,1201831
2840032,92,2006-06-01T00:00:00Z,1201831
3223148,90,2018-10-29T00:00:00Z,99101693
3216985,91,2018-11-20T00:00:00Z,31027695
1375365,92,2007-11-15T00:00:00Z,1205390
1701315,94,2005-04-29T00:00:00Z,1205390
1927226,93,2015-08-21T00:00:00Z,1205390
2838490,97,2007-03-01T00:00:00Z,1205390
2839962,95,2005-06-01T00:00:00Z,1205390
3016066,94,2007-10-01T00:00:00Z,1205390
3299739,94,2018-11-30T00:00:00Z,1205390
3494791,92,2019-06-28T00:00:00Z,18351415
3503958,92,2019-11-27T00:00:00Z,18351415
3503959,92,2014-01-01T00:00:00Z,18351415
3504018,91,2019-12-02T00:00:00Z,18351415
3504241,91,2019-12-10T00:00:00Z,18351415
3504242,90,2014-01-01T00:00:00Z,18351415
3506043,95,2019-11-07T00:00:00Z,14221882
1736698,93,2010-04-27T00:00:00Z,1424582
