id,name,url,payments
11488,Nicolas (Reunion),,[]
22984,Vins a la cave,,[]
3423,Wine Consultant Sarl,,[]
28024,La Cave des Potes,,[]
30475,Lebendige Weine,,[]
743,Confidences des vignobles,http://www.confidences-des-vignobles.fr/conditions-generales-de-ventes-3.html,['legacy_payments']
27831,Vins Sur 20,,[]
29502,Diamant Rouge,,[]
28687,Plaisirs du vin,,[]
375,Winestore 24,,[]
22723,Ivinio,http://www.ivinio.com/fr/p/conditions-generales-de-vente/,['legacy_payments']
11822,Vin & Provence,,[]
5822,Amicalement Vin,https://www.amicalementvin.com/Conditions-generales-de-vente,"['cartes_bancaires_payments', 'legacy_payments']"
16883,Vinnouveau.fr,,[]
22683,Epicave,,[]
4455,Vincoeur Catalan,https://www.vincoeurcatalan.com/page/3-conditions-generales-de-ventes,"['card_payments', 'legacy_payments', 'platform_payments']"
4248,Wine Private Services,,[]
2474,Patrick Jublou & Cie,,[]
16541,Bacchus One,,[]
3309,1907.fr,,[]
26832,Sommelierparticulier,,[]
22953,Saveurs de Bourgogne,,[]
5224,Die Vinothek,,[]
3918,Harald L. Bremer,,[]
29182,Ma Bouteille Pas Cher,,[]
22719,La Cave d'Amont,,[]
3085,Weinhandel Susanne Herold,,[]
29129,Vins De Bourgueil,,[]
27648,La Cabote,,[]
6208,Avenuedesvins.fr,,[]
23172,Chateau Paloumey,,[]
12242,Maison Brotte,,[]
23388,Maison du Vin de Barsac,,[]
3024,Vie d'Oc,,"['card_payments', 'platform_payments']"
4067,Cave Anthocyanes,,[]
22790,La Vignery,,[]
17351,Caviste Authentique,,[]
3985,Cave Pur Jus,,[]
26445,Enoteca Perbacco,,[]
22258,Aperichic,,[]
