,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
14,4341.T,,jp_market,870.0,870.0 - 870.0,18.00832,3043407872,0.037671234,0.3023952,-0.3598234,1237,668.0 - 1359.0,
15,NP9.MU,,dr_market,10.984,10.984 - 10.984,,2769648640,,0.23512882,-0.10320052,6,8.893 - 12.248,
16,NIU.MU,,dr_market,26.005,26.005 - 26.005,,2572960512,,0.42586896,-0.21671692,24,18.238 - 33.2,
17,6FE.F,,dr_market,32.8,32.8 - 32.8,,2944711680,0.03253012,2.5652173,-0.023809502,93,9.2 - 33.6,
18,U1S1.F,,dr_market,2.22,2.22 - 2.22,32.173916,2869372160,0.0057522124,2.5238097,-0.10483871,3164,0.63 - 2.48,
19,BLD.F,,dr_market,5.25,5.25 - 5.25,19.160585,4999459840,0.075514026,0.481377,-0.20212765,91,3.544 - 6.58,
20,SPASF,SATS,us_market,3.115,3.115 - 3.115,18.216373,3472695296,0.04327869,0.6657754,-0.029595025,1453,1.87 - 3.21,
21,BJCHF,Beijing Cap Intl Airport,us_market,0.75,0.75 - 0.75,7.5757575,3372382464,0.05492958,0.3392857,-0.127907,5073,0.56 - 0.86,
22,9049.T,,jp_market,2947.0,2947.0 - 2947.0,,5858635776,0.0067865625,0.17130366,-0.03377049,321,2516.0 - 3050.0,
23,8152.T,,jp_market,1811.0,1811.0 - 1839.0,9.954324,3514662144,0.027609056,0.6614679,-0.09086345,1758,1090.0 - 1992.0,
24,UUM.F,,dr_market,21.4,20.8 - 21.4,5.501285,4315138560,0.05327103,1.3135135,-0.20740741,403,9.25 - 27.0,
0,TLTZY,,us_market,6.44,6.44 - 6.44,,8867106816,,0.003115262,-0.09664751,5817,6.42 - 7.129,
1,MTTRY,,us_market,1.26,1.26 - 1.26,,2523717120,,3.1999998,-0.13103452,3633,0.3 - 1.45,
2,NTN.L,,gb_market,86.5,84.5 - 84.5,9.611111,95542712,0.00046242774,0.58715594,-0.04945055,4417,54.5 - 91.0,
3,D00.F,,dr_market,11.19,11.19 - 11.19,17.136293,3395493376,0.020524211,2.243478,-0.06594324,64,3.45 - 11.98,
4,ITTOY,,us_market,16.715,16.715 - 16.715,37.268673,7576090624,0.025964702,0.51130193,-0.16005023,65,11.06 - 19.9,
5,TLGHY,,us_market,20.83,20.83 - 20.83,19.04022,4737887744,,0.0,-0.08999561,600,20.83 - 22.89,
6,2YU.F,,dr_market,0.74,0.74 - 0.74,30.833334,2541026816,0.020547945,0.35779813,-0.19125684,13674,0.545 - 0.915,
7,SGGKY,,us_market,28.03,28.03 - 28.03,21.89844,8795478016,0.0038951843,0.54095656,-0.09288023,1011,18.19 - 30.9,
8,RBWNY,,us_market,7.75,7.75 - 7.75,,3513818880,,0.78160924,0.0,54,4.35 - 7.75,
9,0M3L.L,,gb_market,49.875,49.8 - 49.875,16.5149,9123933184,0.026638722,0.0015060394,0.0,,49.8 - 49.875,
10,0QQO.L,,gb_market,692.0,690.0 - 699.0,68.53521,2875979776,0.0040517165,0.0028985508,-0.010014306,,690.0 - 699.0,
11,4BV.F,,dr_market,22.05,22.05 - 22.05,61.420612,9932244992,0.025225224,0.38635647,-0.08695654,130,15.905 - 24.15,
12,VZ1.F,,dr_market,0.955,0.955 - 0.955,,2131378560,,0.17901233,-0.2653846,6,0.81 - 1.3,
13,0IQC.L,,gb_market,17.318,16.8865 - 17.498,,2607121152,0.012086052,0.02555304,-0.010286799,,16.8865 - 17.498,
14,30R0.SG,,dr_market,7.0,6.95 - 7.1,,3136475904,,0.86170214,-0.09677419,23,3.76 - 7.75,
15,MGAWY,Megaworld,us_market,16.889,16.889 - 16.889,10.555625,2528688640,5.921014e-05,0.14735052,-0.09490889,659,14.72 - 18.66,
16,AKABY,Alk-Abello,us_market,91.25,91.25 - 91.25,,4850795008,,1.3809524,-0.024272848,21,38.325 - 93.52,
17,SMSOF,,us_market,1.8125,1.8125 - 1.8125,,2623901952,0.04461538,1.7462119,-0.07525512,3021,0.66 - 1.96,
18,UFH.F,,dr_market,28.6,28.6 - 28.6,,6657250816,,2.142857,-0.20111729,6,9.1 - 35.8,
19,AACAF,AAC Technologies,us_market,5.84,6.06 - 6.17,,7177768960,,0.32727274,-0.27812114,340,4.4 - 8.09,
20,I3N.F,,dr_market,118.0,114.0 - 118.0,13.436576,3996954880,,7.1944447,-0.08527132,65,14.4 - 129.0,
21,APPEF,,us_market,16.8,16.8 - 16.8,,2411572736,,0.018181771,-0.34757283,93,16.5 - 25.75,
