backmarketid,price,stockraw,pressurestocklimit,warranty,slug,state_value,state_label,title,price_new,merchant_slug,objectid,brand,warranty,size,storage,memory,model,processor_speed,processor_type,storage_type,date_release,keyboard_type_language,highlightresult_title_value
321020,399.0,93,20,12,hp-probook-640-g1-14-core-i5-26-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/321020.html#?l=3,3,État correct,"HP ProBook 640 G1 14"" Core i5 2,6 GHz  - HDD 500 Go - 8 Go AZERTY - Français",899.0,hp-probook-640-g1-14-core-i5-26-ghz-hdd-500-go-8-go-azerty-francais-pas-cher/boutique-26/321020.html,1093803,HP,12.0,14,500,8,ProBook 640 G1,"2,6",Intel Core i5,HDD,Décembre 2016,AZERTY - Français,"HP ProBook 640 G1 14"" Core i5 2,6 GHz  - HDD 500 Go - 8 Go AZERTY - Français"
150313,790.0,7,20,12,lenovo-thinkpad-x260-12-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/150313.html#?l=4,4,Stallone,"Lenovo ThinkPad X260 12"" Core i5 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français",1499.0,lenovo-thinkpad-x260-12-core-i5-24-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-668/150313.html,990565,Lenovo,12.0,"12,5",256,8,ThinkPad X260,"2,4",Intel Core i5,SSD,,AZERTY - Français,"Lenovo ThinkPad X260 12"" Core i5 2,4 GHz - SSD 256 Go - 8 Go AZERTY - Français"
257971,989.0,2,20,12,macbook-pro-13-retina-mi-2017-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/257971.html#?l=4,4,Stallone,"MacBook Pro   13"" Retina (Mi-2017) - Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français",1749.0,macbook-pro-13-retina-mi-2017-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-94/257971.html,1175780,Apple,12.0,"13,3",256,8,MacBook Pro,"2,3",Intel Core i5,SSD,Mi-2017,AZERTY - Français,"MacBook Pro   13"" Retina (Mi-2017) - Core i5 2,3 GHz  - SSD 256 Go - 8 Go AZERTY - Français"
254623,919.0,20,20,12,macbook-12-retina-mi-2017-core-i5-13-ghz-ssd-512-go-8-go-azerty-francais-pas-cher/254623.html#?l=4,4,Stallone,"MacBook   12"" Retina (Mi-2017) - Core i5 1,3 GHz  - SSD 512 Go - 8 Go AZERTY - Français",1805.0,macbook-12-retina-mi-2017-core-i5-13-ghz-ssd-512-go-8-go-azerty-francais-pas-cher/boutique-604/254623.html,915555,Apple,12.0,12,512,8,MacBook,"1,3",Intel Core i5,SSD,Mi-2017,AZERTY - Français,"MacBook   12"" Retina (Mi-2017) - Core i5 1,3 GHz  - SSD 512 Go - 8 Go AZERTY - Français"
8976,169.0,99,20,12,dell-optiplex-780-sff-19-core-2-duo-293-ghz-hdd-160-go-4-go-pas-cher/8976.html#?l=4,4,Stallone,"Dell Optiplex 780 SFF 19"" Core 2 Duo 2,93 GHz  - HDD 160 Go - 4 Go ",411.0,dell-optiplex-780-sff-19-core-2-duo-293-ghz-hdd-160-go-4-go-pas-cher/boutique-26/8976.html,394058,Dell,12.0,19,160,4,Optiplex 780 SFF,"2,93",Intel Core 2 Duo,HDD,,,"Dell Optiplex 780 SFF 19"" Core 2 Duo 2,93 GHz  - HDD 160 Go - 4 Go "
96594,359.0,72,20,12,hp-compaq-elite-8300-sff-core-i7-34-ghz-ssd-240-go-ram-16-go-pas-cher/96594.html#?l=4,4,Stallone,"Hp Compaq Elite 8300 SFF Core i7 3,4 GHz - SSD 240 Go RAM 16 Go",1249.0,hp-compaq-elite-8300-sff-core-i7-34-ghz-ssd-240-go-ram-16-go-pas-cher/boutique-26/96594.html,1025389,,,,,,,,,,,,"Hp Compaq Elite 8300 SFF Core i7 3,4 GHz - SSD 240 Go RAM 16 Go"
90199,429.0,73,20,12,dell-optiplex-7010-sff-core-i7-34-ghz-ssd-480-go-ram-16-go-pas-cher/90199.html#?l=4,4,Stallone,"Dell Optiplex 7010 SFF Core i7 3,4 GHz - SSD 480 Go RAM 16 Go",1121.0,dell-optiplex-7010-sff-core-i7-34-ghz-ssd-480-go-ram-16-go-pas-cher/boutique-26/90199.html,1179620,,,,,,,,,,,,"Dell Optiplex 7010 SFF Core i7 3,4 GHz - SSD 480 Go RAM 16 Go"
158111,562.0,22,20,12,lenovo-thinkpad-t450-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/158111.html#?l=2,2,Bon état,"Lenovo Thinkpad T450 14"" Core i5 2,3 GHz - SSD 256 Go - 8 Go AZERTY - Français",1500.0,lenovo-thinkpad-t450-14-core-i5-23-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-1033/158111.html,398547,Lenovo,12.0,14,256,8,Thinkpad T450,"2,3",Intel Core i5,SSD,2013,AZERTY - Français,"Lenovo Thinkpad T450 14"" Core i5 2,3 GHz - SSD 256 Go - 8 Go AZERTY - Français"
4528,699.0,5,20,12,macbook-pro-13-retina-mi-2014-core-i5-26-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/4528.html#?l=4,4,Stallone,"MacBook Pro 13"" Retina (Mi-2014) - Core i5 2,6 GHz - SSD 256 Go - 8 Go AZERTY - Français",1499.0,macbook-pro-13-retina-mi-2014-core-i5-26-ghz-ssd-256-go-8-go-azerty-francais-pas-cher/boutique-4/4528.html,1349272,Apple,12.0,"13,3",256,8,MacBook Pro,"2,6",Intel Core i5,SSD,Mi-2014,AZERTY - Français,"MacBook Pro 13"" Retina (Mi-2014) - Core i5 2,6 GHz - SSD 256 Go - 8 Go AZERTY - Français"
12167,615.0,5,20,12,imac-21-fin-2012-core-i5-27-ghz-hdd-1-to-8-go-azerty-francais-pas-cher/12167.html#?l=3,3,État correct,"iMac 21"" (Fin 2012) Core i5 2,7 GHz - HDD 1 To - 8 Go AZERTY - Français",1549.0,imac-21-fin-2012-core-i5-27-ghz-hdd-1-to-8-go-azerty-francais-pas-cher/boutique-4/12167.html,1271055,Apple,12.0,"21,5",1000,8,iMac,"2,7",Intel Core i5,HDD,Fin 2012,AZERTY - Français,"iMac 21"" (Fin 2012) Core i5 2,7 GHz - HDD 1 To - 8 Go AZERTY - Français"
